"Column";"en";"de";"fr";"pt";"ru";"es";"it";"da";"sv";"nl";"pl";"fi";"pt-BR";"tr";"bg";"cs";"el";"hu";"no";"ro";"es-419";"uk";"ar";"zh-CN";"zh-TW";"ja";"ko";"th";"vn"
"secret_youtube_title";"Secret Watcher";"Geheimer Zuschauer";"Guetteur secret ";"Observador Secreto";"Тайный Наблюдатель";"Observador Secreto";"Osservatore Segreto";"";"";"";"Skryty Obserwujący";"";"Observador Secreto";"Gizli İzleyici";"";"Tajné: Sledovač";"Μυστικός θεατής";"Titkos Figyelő";"";"Observatorul secret";"";"Таємний Спостерігач";"";"秘密看守者";"秘密看守者";"";"비밀 시청자";"ผู้เฝ้ามองลับ";""
"secret_discord_title";"Secret Community";"Geheime Community";"Communauté secrète";"Comunidade Secreta";"Тайное Сообщество";"Comunidad secreta";"Community Segreta";"";"";"";"Skryta Społeczność";"";"Comunidade Secreta";"Gizli Topluluk";"";"Tajné: Komunita";"Μυστική κοινότητα";"Titkos Közösség";"";"Comunitatea secretă";"";"Таємна Спільнота";"";"秘密社群";"秘密社群";"";"비밀 커뮤니티";"ชุมชนลับ";""
"card_unlock_black_bronze_all_description";"Unlock all bronze cards of the black legion.";"Schalte alle Bronze-Karten der schwarzen Legion frei.";"Débloquez toutes les cartes de bronze de la légion noire.";"Desbloqueia todas as cartas bronze da legião negra.";"Разблокируйте все бронзовые карты чёрного легиона.";"Desbloquea todas las cartas de bronce de la legión negra.";"Sblocca tutte le carte bronzo della legione nera.";"";"";"Ontgrendel alle bronzen kaarten van het zwarte legioen.";"Odblokuj wszystkie brązowe karty czarnego legionu.";"";"Desbloqueie todas as cartas de bronze da Legião Negra.";"Kara Lejyon'un tüm bronz kartlarını aç.";"";"Odemkni všechny bronzové karty černé legie";"Ξεκλείδωσε όλες τις χάλκινες κάρτες τής μαύρης λεγεώνας.";"Oldd fel az összes bronz kártyát a fekete légióban!";"";"Deblocați toate cărțile de bronz ale legiunii negre.";"";"Розблокуйте всі бронзові карти чорного легіону.";"";"解锁黑色军团所有的青铜卡牌。";"解鎖黑色軍團所有的青銅卡牌。";"";"흑색 군단의 모든 브론즈 카드를 잠금 해제하기.";"";""
"card_unlock_black_silver_all_description";"Unlock all silver cards of the black legion.";"Schalte alle Silber-Karten der schwarzen Legion frei.";"Débloquez toutes les cartes d'argent de la légion noire.";"Desbloqueia todas as cartas prata da legião negra.";"Разблокируйте все серебряные карты черного легиона.";"Desbloquea todas las cartas de plata de la legión negra.";"Sblocca tutte le carte argento della legione nera.";"";"";"Ontgrendel alle zilveren kaarten van het zwarte legioen.";"Odblokuj wszystkie srebrne karty czarnego legionu.";"";"Desbloqueie todas as cartas de prata da Legião Negra.";"Kara Lejyon'un tüm gümüş kartlarını aç.";"";"Odemkni všechny stříbrné karty černé legie";"Ξεκλείδωσε όλες τις ασημένιες κάρτες τής μαύρης λεγεώνας.";"Oldd fel az összes ezüst kártyát a fekete légióban!";"";"Deblocați toate cărțile de argint ale legiunii negre.";"";"Розблокуйте всі срібні карти чорного легіону.";"";"解锁黑色军团所有的白银卡牌。";"解鎖黑色軍團所有的白銀卡牌。";"";"흑색 군단의 모든 실버 카드를 잠금 해제하기.";"";""
"card_unlock_black_gold_all_description";"Unlock all gold cards of the black legion.";"Schalte alle Gold-Karten der schwarzen Legion frei.";"Débloquez toutes les cartes Or de la Légion Noire.";"Desbloqueia todas as cartas de ouro da legião negra.";"Разблокируйте все золотые карты черного легиона.";"Desbloquea todas las cartas de oro de la legión negra.";"Sblocca tutte le carte oro della legione nera.";"";"";"Ontgrendel alle gouden kaarten van het zwarte legioen.";"Odblokuj wszystkie złote karty czarnego legionu.";"";"Desbloqueie todos os cards de ouro da Legião Negra.";"Kara Lejyon'un tüm altın kartlarını aç.";"";"Odemkni všechny zlaté karty černé legie";"Ξεκλείδωσε όλες τις χρυσές κάρτες τής μαύρης λεγεώνας.";"Oldd fel az összes arany kártyát a fekete légióban!";"";"Deblocați toate cărțile de aur ale legiunii negre.";"";"Розблокуйте всі золоті карти чорного легіону.";"";"解锁黑色军团所有的黄金卡牌。";"解鎖黑色軍團所有的黃金卡牌。";"";"흑색 군단의 모든 골드 카드를 잠금 해제하기.";"";""
"card_unlock_black_all_description";"Unlock all cards of the black legion.";"Schalte alle Karten der schwarzen Legion frei.";"Débloquez toutes les cartes de la Légion Noire.";"Desbloqueia todas as cartas da legião negra.";"Разблокируйте все карты черного легиона.";"Desbloquea todas las cartas de la legión negra.";"Sblocca tutte le carte della legione nera.";"";"";"Ontgrendel alle kaarten van het zwarte legioen.";"Odblokuj wszystkie karty czarnego legionu.";"";"Desbloqueie todas as cartas da Legião Negra.";"Kara Lejyon'a ait tüm kartları aç.";"";"Odemkni všechny karty černé legie";"Ξεκλείδωσε όλες τις κάρτες τής μαύρης λεγεώνας.";"Oldd fel az összes kártyát a fekete légióban!";"";"Deblocați toate cărțile legiunii negre.";"";"Розблокуйте всі карти чорного легіону.";"";"解锁黑色军团所有的卡牌。";"解鎖黑色軍團所有的卡牌。";"";"흑색 군단의 모든 카드를 잠금 해제하기.";"";""
"card_unlock_blue_bronze_all_description";"Unlock all bronze cards of the blue legion.";"Schalte alle Bronze-Karten der blauen Legion frei.";"Débloquez toutes les cartes de bronze de la légion bleue.";"Desbloqueia todas as cartas bronze da legião azul.";"Разблокируйте все бронзовые карты синего легиона.";"Desbloquea todas las cartas de bronce de la legión azul.";"Sblocca tutte le carte bronzo della legione blu.";"";"";"Ontgrendel alle bronzen kaarten van het blauwe legioen.";"Odblokuj wszystkie brązowe karty niebieskiego legionu.";"";"Desbloqueie todas as cartas de bronze da Legião Azul.";"Mavi Lejyon'a ait tüm bronz kartları aç.";"";"Odemkni všechny bronzové karty modré legie";"Ξεκλείδωσε όλες τις χάλκινες κάρτες τής μπλε λεγεώνας.";"Oldd fel az összes bronz kártyát a kék légióban!";"";"Deblocați toate cărțile de bronz ale legiunii albastre.";"";"Розблокуйте всі бронзові карти синього легіону.";"";"解锁蓝色军团所有的青铜卡牌。";"解鎖藍色軍團所有的青銅卡牌。";"";"청색 군단의 모든 브론즈 카드를 잠금 해제하기.";"";""
"card_unlock_blue_silver_all_description";"Unlock all silver cards of the blue legion.";"Schalte alle Silber-Karten der blauen Legion frei.";"Débloque toutes les cartes d'argent de la légion bleue.";"Desbloqueia todas as cartas prata da legião azul.";"Разблокируйте все серебряные карты легиона.";"Desbloquea todas las cartas de bronce de la legión azul.";"Sblocca tutte le carte argento della legione blu.";"";"";"Ontgrendel alle zilveren kaarten van het blauwe legioen.";"Odblokuj wszystkie srebrne karty niebieskiego legionu.";"";"Desbloqueie todas as cartas de prata da Legião Azul.";"Mavi Lejyon'a ait tüm gümüş kartları aç.";"";"Odemkni všechny stříbrné karty modré legie";"Ξεκλείδωσε όλες τις ασημένιες κάρτες τής μπλε λεγεώνας.";"Oldd fel az összes ezüst kártyát a kék légióban!";"";"Deblocați toate cărțile de argint ale legiunii albastre.";"";"Розблокуйте всі срібні карти легіону.";"";"解锁蓝色军团所有的白银卡牌。";"解鎖藍色軍團所有的白銀卡牌。";"";"청색 군단의 모든 실버 카드를 잠금 해제하기.";"";""
"card_unlock_blue_gold_all_description";"Unlock all gold cards of the blue legion.";"Schalte alle Gold-Karten der blauen Legion frei.";"Débloquez toutes les cartes Or de la Légion Bleue.";"Desbloqueia todas as cartas de ouro da legião azul.";"Разблокируйте все золотые карты синего легиона.";"Desbloquea todas las cartas de oro de la legión azul.";"Sblocca tutte le carte oro della legione blu.";"";"";"Ontgrendel alle gouden kaarten van het blauwe legioen.";"Odblokuj wszystkie złote karty niebieskiego legionu.";"";"Desbloqueie todas as cartas de ouro da Legião Azul.";"Mavi Lejyon'a ait tüm altın kartları aç.";"";"Odemkni všechny zlaté karty modré legie";"Ξεκλείδωσε όλες τις χρυσές κάρτες τής μπλε λεγεώνας.";"Oldd fel az összes arany kártyát a kék légióban!";"";"Deblocați toate cărțile de aur ale legiunii albastre.";"";"Розблокуйте всі золоті карти синього легіону.";"";"解锁蓝色军团所有的黄金卡牌。";"解鎖藍色軍團所有的黃金卡牌。";"";"청색 군단의 모든 골드 카드를 잠금 해제하기.";"";""
"card_unlock_blue_all_description";"Unlock all cards of the blue legion.";"Schalte alle Karten der blauen Legion frei.";"Débloquez toutes les cartes de la Légion Bleue.";"Desbloqueia todas as cartas da legião azul.";"Разблокируйте все карты синего легиона.";"Desbloquea todas las cartas de la legión azul.";"Sblocca tutte le carte della legione blu.";"";"";"Ontgrendel alle kaarten van het blauwe legioen.";"Odblokuj wszystkie karty niebieskiego legionu.";"";"Desbloqueie todas as cartas da Legião Azul.";"Mavi Lejyon'a ait tüm kartları aç.";"";"Odemkni všechny karty modré legie";"Ξεκλείδωσε όλες τις κάρτες τής μπλε λεγεώνας.";"Oldd fel az összes kártyát a kék légióban!";"";"Deblocați toate cărțile ale legiunii albastre.";"";"Розблокуйте всі карти синього легіону.";"";"解锁蓝色军团所有的卡牌。";"解鎖藍色軍團所有的卡牌。";"";"청색 군단의 모든 카드를 잠금 해제하기.";"";""
"card_unlock_colorless_bronze_all_description";"Unlock all bronze cards of the crystal legion.";"Schalte alle Bronze-Karten der Kristall-Legion frei.";"Débloquez toutes les cartes de bronze de la légion de cristal.";"Desbloqueia todas as cartas bronze da legião de cristal.";"Разблокируйте все бронзовые карты кристального легиона.";"Desbloquea todas las cartas de bronce de la legión de cristal.";"Sblocca tutte le carte bronzo della legione cristallo.";"";"";"Ontgrendel alle bronzen kaarten van het kristallen legioen.";"Odblokuj wszystkie brązowe karty kryształowego legionu.";"";"Desbloqueie todas as cartas de bronze da Legião Cristal.";"Kristal Lejyon'a ait tüm bronz kartları aç.";"";"Odemkni všechny bronzové karty legie krystalů";"Ξεκλείδωσε όλες τις χάλκινες κάρτες τής κρυστάλλινης λεγεώνας.";"Oldd fel az összes bronz kártyát a kristály légióban!";"";"Deblocați toate cărțile de bronz ale legiunii de cristal.";"";"Розблокуйте всі бронзові карти кристального легіону.";"";"解锁水晶军团所有的青铜卡牌。";"解鎖水晶軍團所有的青銅卡牌。";"";"수정 군단의 모든 브론즈 카드를 잠금 해제하기.";"";""
"card_unlock_colorless_silver_all_description";"Unlock all silver cards of the crystal legion.";"Schalte alle Silber-Karten der Kristall-Legion frei.";"Débloque toutes les cartes en argent de la légion en cristal.";"Desbloqueia todas as cartas de prata da legião de cristal.";"Разблокируйте все серебряные карты кристального легиона.";"Desbloquea todas las cartas de plata de la legión de cristal.";"Sblocca tutte le carte argento della legione cristallo.";"";"";"Ontgrendel alle zilveren kaarten van het kristallen legioen.";"Odblokuj wszystkie srebrne karty kryształowego legionu.";"";"Desbloqueie todas as cartas de prata da Legião Cristal.";"Kristal Lejyon'a ait tüm gümüş kartları aç.";"";"Odemkni všechny stříbrné karty legie krystalů";"Ξεκλείδωσε όλες τις ασημένιες κάρτες τής κρυστάλλινης λεγεώνας.";"Oldd fel az összes ezüst kártyát a kristály légióban!";"";"Deblocați toate cărțile de argint ale legiunii de cristal.";"";"Розблокуйте всі срібні карти кристального легіону.";"";"解锁水晶军团所有的白银卡牌。";"解鎖水晶軍團所有的白銀卡牌。";"";"수정 군단의 모든 실버 카드를 잠금 해제하기.";"";""
"card_unlock_colorless_gold_all_description";"Unlock all gold cards of the crystal legion.";"Schalte alle Gold-Karten der Kristall-Legion frei.";"Débloquez toutes les cartes d'or de la légion de cristal.";"Desbloqueia todas as cartas de ouro da legião de cristal.";"Разблокируйте все золотые карты кристального легиона.";"Desbloquea todas las cartas de oro de la legión de cristal.";"Sblocca tutte le carte oro della legione cristallo.";"";"";"Ontgrendel alle gouden kaarten van het kristallen legioen.";"Odblokuj wszystkie złote karty kryształowego legionu.";"";"Desbloqueie todas as cartas de ouro da Legião Cristal.";"Kristal Lejyon'a ait tüm altın kartları aç.";"";"Odemkni všechny zlaté karty legie krystalů";"Ξεκλείδωσε όλες τις χρυσές κάρτες τής κρυστάλλινης λεγεώνας.";"Oldd fel az összes arany kártyát a kristály légióban!";"";"Deblocați toate cărțile ale legiunii de cristal.";"";"Розблокуйте всі золоті карти кристального легіону.";"";"解锁水晶军团所有的黄金卡牌。";"解鎖水晶軍團所有的黃金卡牌。";"";"수정 군단의 모든 골드 카드를 잠금 해제하기.";"";""
"card_unlock_colorless_all_description";"Unlock all cards of the crystal legion.";"Schalte alle Karten der Kristall-Legion frei.";"Déverrouillez toutes les cartes de la légion en cristal.";"Desbloqueia todas as cartas da legião de cristal.";"Разблокируйте все карты кристального легиона.";"Desbloquea todas las cartas de la legión de cristal.";"Sblocca tutte le carte della legione cristallo.";"";"";"Ontgrendel alle kaarten van het kristallen legioen.";"Odblokuj wszystkie karty kryształowego legionu.";"";"Desbloqueie todas as cartas da Legião Cristal.";"Kristal Lejyon'a ait tüm kartları aç.";"";"Odemkni všechny karty legie krystalů";"Ξεκλείδωσε όλες τις κάρτες τής κρυστάλλινης λεγεώνας.";"Oldd fel az összes kártyát a kristály légióban!";"";"Deblocați toate cărțile de legiunii de cristal.";"";"Розблокуйте всі карти кристального легіону.";"";"解锁水晶军团所有的卡牌。";"解鎖水晶軍團所有的卡牌。";"";"수정 군단의 모든 카드를 잠금 해제하기.";"";""
"card_unlock_green_bronze_all_description";"Unlock all bronze cards of the green legion.";"Schalte alle Bronze-Karten der gr?en Legion frei.";"Débloquez toutes les cartes de bronze de la légion verte.";"Desbloqueia todas as cartas bronze da legião verde.";"Разблокируйте все бронзовые карты зеленого легиона.";"Desbloquea todas las cartas de bronce de la legión verde.";"Sblocca tutte le carte bronzo della legione verde.";"";"";"Ontgrendel alle bronzen kaarten van het groene legioen.";"Odblokuj wszystkie brązowe karty zielonego legionu.";"";"Desbloqueie todas as cartas de bronze da Legião Verde.";"Yeşil Lejyon'a ait tüm bronz kartları aç.";"";"Odemkni všechny bronzové karty zelené legie";"Ξεκλείδωσε όλες τις χάλκινες κάρτες τής πράσινης λεγεώνας.";"Oldd fel az összes bronz kártyát a zöld légióban!";"";"Deblocați toate cărțile de bronz ale legiunii verzi.";"";"Розблокуйте всі бронзові карти зеленого легіону.";"";"解锁绿色军团所有的青铜卡牌。";"解鎖綠色軍團所有的青銅卡牌。";"";"녹색 군단의 모든 브론즈 카드를 잠금 해제하기.";"";""
"card_unlock_green_silver_all_description";"Unlock all silver cards of the green legion.";"Schalte alle Silber-Karten der gr?en Legion frei.";"Débloquez toutes les cartes argentées de la légion verte.";"Desbloqueia todas as cartas de prata da legião verde.";"Разблокируйте все серебряные карты зеленого легиона.";"Desbloquea todas las cartas de plata de la legión verde.";"Sblocca tutte le carte argento della legione verde.";"";"";"Ontgrendel alle zilveren kaarten van het groene legioen.";"Odblokuj wszystkie srebrne karty zielonego legionu.";"";"Desbloqueie todas as cartas de prata da Legião Verde.";"Yeşil Lejyon'a ait tüm gümüş kartları aç.";"";"Odemkni všechny stříbrné karty zelené legie";"Ξεκλείδωσε όλες τις ασημένιες κάρτες τής πράσινης λεγεώνας.";"Oldd fel az összes ezüst kártyát a zöld légióban!";"";"Deblocați toate cărțile de argint ale legiunii verzi.";"";"Розблокуйте всі срібні карти зеленого легіону.";"";"解锁绿色军团所有的白银卡牌。";"解鎖綠色軍團所有的白銀卡牌。";"";"녹색 군단의 모든 실버 카드를 잠금 해제하기.";"";""
"card_unlock_green_gold_all_description";"Unlock all gold cards of the green legion.";"Schalte alle Gold-Karten der gr?en Legion frei.";"Débloquez toutes les cartes Or de la Légion Verte.";"Desbloqueia todas as cartas de ouro da legião verde.";"Разблокируйте все золотые карты зеленого легиона.";"Desbloquea todas las cartas de oro de la legión verde.";"Sblocca tutte le carte oro della legione verde.";"";"";"Ontgrendel alle gouden kaarten van het groene legioen.";"Odblokuj wszystkie złote karty zielonego legionu.";"";"Desbloqueie todas as cartas de ouro da Legião Verde.";"Yeşil Lejyon'a ait tüm altın kartları aç.";"";"Odemkni všechny zlaté karty zelené legie";"Ξεκλείδωσε όλες τις χρυσές κάρτες τής πράσινης λεγεώνας.";"Oldd fel az összes arany kártyát a zöld légióban!";"";"Deblocați toate cărțile de aur ale legiunii verzi.";"";"Розблокуйте всі золоті карти зеленого легіону.";"";"解锁绿色军团所有的黄金卡牌。";"解鎖綠色軍團所有的黃金卡牌。";"";"녹색 군단의 모든 골드 카드를 잠금 해제하기.";"";""
"card_unlock_green_all_description";"Unlock all cards of the green legion.";"Schalte alle Karten der gr?en Legion frei.";"Débloquez toutes les cartes de la Légion Verte.";"Desbloqueia todas as cartas da legião verde.";"Разблокируйте все карты зеленого легиона.";"Desbloquea todas las cartas de la legión verde.";"Sblocca tutte le carte della legione verde.";"";"";"Ontgrendel alle kaarten van het groene legioen.";"Odblokuj wszystkie karty zielonego legionu.";"";"Desbloqueie todas as cartas da Legião Verde.";"Yeşil Lejyon'a ait tüm kartları aç.";"";"Odemkni všechny karty zelené legie";"Ξεκλείδωσε όλες τις κάρτες τής πράσινης λεγεώνας.";"Oldd fel az összes kártyát a zöld légióban!";"";"Deblocați toate cărțile ale legiunii verzi.";"";"Розблокуйте всі карти зеленого легіону.";"";"解锁绿色军团所有的卡牌。";"解鎖綠色軍團所有的卡牌。";"";"녹색 군단의 모든 카드를 잠금 해제하기.";"";""
"card_unlock_white_bronze_all_description";"Unlock all bronze cards of the white legion.";"Schalte alle Bronze-Karten der weiﾟen Legion frei.";"Débloquez toutes les cartes de bronze de la légion blanche.";"Desbloqueia todas as cartas bronze da legião branca.";"Разблокируйте все бронзовые карты зеленого легиона.";"Desbloquea todas las cartas de bronce de la legión blanca.";"Sblocca tutte le carte bronzo della legione bianca.";"";"";"Ontgrendel alle bronzen kaarten van het witte legioen.";"Odblokuj wszystkie brązowe karty białego legionu.";"";"Desbloqueie todas as cartas de bronze da Legião Branca.";"Beyaz Lejyon'a ait tüm bronz kartları aç.";"";"Odemkni všechny bronzové karty bílé legie";"Ξεκλείδωσε όλες τις χάλκινες κάρτες τής λευκής λεγεώνας.";"Oldd fel az összes bronz kártyát a fehér légióban!";"";"Deblocați toate cărțile de bronz ale legiunii albe.";"";"Розблокуйте всі бронзові карти зеленого легіону.";"";"解锁白色军团所有的青铜卡牌。";"解鎖白色軍團所有的青銅卡牌。";"";"백색 군단의 모든 브론즈 카드를 잠금 해제하기.";"";""
"card_unlock_white_silver_all_description";"Unlock all silver cards of the white legion.";"Schalte alle Silber-Karten der weiﾟen Legion frei.";"Débloquez toutes les cartes argentées de la légion blanche.";"Desbloqueia todas as cartas de prata da legião branca.";"Разблокируйте все серебряные карты белого легиона.";"Desbloquea todas las cartas de plata de la legión blanca.";"Sblocca tutte le carte argento della legione bianca.";"";"";"Ontgrendel alle zilveren kaarten van het witte legioen.";"Odblokuj wszystkie srebrne karty białego legionu.";"";"Desbloqueie todas as cartas de prata da Legião Branca.";"Beyaz Lejyon'a ait tüm gümüş kartları aç.";"";"Odemkni všechny stříbrné karty bílé legie";"Ξεκλείδωσε όλες τις ασημένιες κάρτες τής λευκής λεγεώνας.";"Oldd fel az összes ezüst kártyát a fehér légióban!";"";"Deblocați toate cărțile de argint ale legiunii albe.";"";"Розблокуйте всі срібні карти білого легіону.";"";"解锁白色军团所有的白银卡牌。";"解鎖白色軍團所有的白銀卡牌。";"";"백색 군단의 모든 실버 카드를 잠금 해제하기.";"";""
"card_unlock_white_gold_all_description";"Unlock all gold cards of the white legion.";"Schalte alle Gold-Karten der weiﾟen Legion frei.";"Débloquez toutes les cartes Or de la légion blanche.";"Desbloqueie todas as cartas de ouro da legião branca.";"Разблокируйте все золотые карты белого легиона.";"Desbloquea todas las cartas de oro de la legión blanca.";"Sblocca tutte le carte oro della legione bianca.";"";"";"Ontgrendel alle gouden kaarten van het witte legioen.";"Odblokuj wszystkie złote karty białego legionu.";"";"Desbloqueie todas as cartas de ouro da Legião Branca.";"Beyaz Lejyon'a ait tüm altın kartları aç.";"";"Odemkni všechny zlaté karty bílé legie";"Ξεκλείδωσε όλες τις χρυσές κάρτες τής λευκής λεγεώνας.";"Oldd fel az összes arany kártyát a fehér légióban!";"";"Deblocați toate cărțile de aur ale legiunii albe.";"";"Розблокуйте всі золоті карти білого легіону.";"";"解锁白色军团所有的黄金卡牌。";"解鎖白色軍團所有的黃金卡牌。";"";"백색 군단의 모든 골드 카드를 잠금 해제하기.";"";""
"card_unlock_white_all_description";"Unlock all cards of the white legion.";"Schalte alle Karten der weiﾟen Legion frei.";"Débloquez toutes les cartes de la légion blanche.";"Desbloqueie todas as cartas da legião branca.";"Разблокируйте все карты белого легиона.";"Desbloquea todas las cartas de la legión blanca.";"Sblocca tutte le carte della legione bianca.";"";"";"Ontgrendel alle kaarten van het witte legioen.";"Odblokuj wszystkie karty białego legionu.";"";"Desbloqueie todas as cartas da Legião Branca.";"Beyaz Lejyon'a ait tüm kartları aç.";"";"Odemkni všechny karty bílé legie";"Ξεκλείδωσε όλες τις κάρτες τής λευκής λεγεώνας.";"Oldd fel az összes kártyát a fehér légióban!";"";"Deblocați toate cărțile legiunii albe.";"";"Розблокуйте всі карти білого легіону.";"";"解锁白色军团所有的卡牌。";"解鎖白色軍團所有的卡牌。";"";"백색 군단의 모든 카드를 잠금 해제하기.";"";""
"card_unlock_all_description";"Unlock all cards.";"Schalte alle Karten frei.";"Débloquer toutes les cartes.";"Desbloqueie todas as cartas.";"Разблокируйте все карты.";"Desbloquea todas las cartas.";"Sblocca tutte le carte.";"";"";"Ontgrendel alle kaarten.";"Odblokuj wszystkie karty.";"";"Desbloqueie todas as cartas.";"Tüm kartların kilidini aç.";"";"Odemkni všechny karty";"Ξεκλείδωσε όλες τις κάρτες.";"Oldd fel az összes kártyát!";"";"Deblocați toate cărțile.";"";"Розблокуйте всі карти.";"";"解锁所有的卡牌。";"解鎖所有的卡牌。";"";"모든 카드를 잠금 해제하기.";"";""
"player_level_5_description";"Reach level 5.";"Erreiche Level 5.";"Atteindre le niveau 5.";"Alcance nível 5.";"Достичь 5 уровня";"Alcanza el Nivel 5.";"Raggiungi il livello 5.";"Opnå niveau 5.";"";"Bereik level 5.";"Osiągnij 5 poziom.";"";"Alcance o nível 5.";"5. seviyeye ulaş.";"";"Dosáhni úrovně 5";"Φτάσε στο επίπεδο 5.";"Érd el az 5. szintet!";"";"Atinge nivelul 5.";"";"Досягти 5 рівня.";"";"达到等级 5。";"達到等級 5。";"";"5 레벨 달성하기.";"";""
"player_level_10_description";"Reach level 10.";"Erreiche Level 10.";"Atteignez le niveau 10.";"Alcance nível 10.";"Достичь 10 уровня.";"Alcanza el Nivel 10.";"Raggiungi il livello 10.";"Opnå niveau 10.";"";"Bereik level 10.";"Osiągnij 10 poziom.";"";"Alcance o nível 10.";"10. seviyeye ulaş.";"";"Dosáhni úrovně 10";"Φτάσε στο επίπεδο 10.";"Érd el a 10. szintet!";"";"Atinge nivelul 10.";"";"Досягти 10 рівня.";"";"达到等级 10。";"達到等級 10。";"";"10 레벨 달성하기.";"";""
"player_level_15_description";"Reach level 15.";"Erreiche Level 15.";"Atteignez le niveau 15.";"Alcance nível 15.";"Достичь 15 уровня.";"Alcanza el Nivel 15.";"Raggiungi il livello 15.";"Opnå niveau 15.";"";"Bereik level 15.";"Osiągnij 15 poziom.";"";"Alcance o nível 15.";"15. seviyeye ulaş.";"";"Dosáhni úrovně 15";"Φτάσε στο επίπεδο 15.";"Érd el a 15. szintet!";"";"Atinge nivelul 15.";"";"Досягти 15 рівня.";"";"达到等级 15。";"達到等級 15。";"";"레벨 15 달성하기.";"";""
"player_level_20_description";"Reach level 20.";"Erreiche Level 20.";"Atteignez le niveau 20.";"Alcance nível 20.";"Достичь 20 уровня.";"Alcanza el Nivel 20.";"Raggiungi il livello 20.";"Opnå niveau 20.";"";"Bereik level 20.";"Osiągnij 20 poziom.";"";"Alcance o nível 20.";"20. seviyeye ulaş.";"";"Dosáhni úrovně 20";"Φτάσε στο επίπεδο 20.";"Érd el a 20. szintet!";"";"Atinge nivelul 20.";"";"Досягти 20 рівня.";"";"达到等级 20。";"達到等級 20。";"";"20 레벨 달성하기.";"";""
"player_level_25_description";"Reach level 25.";"Erreiche Level 25.";"Atteignez le niveau 25.";"Alcance nível 25.";"Достичь уровня 25.";"Alcanza el Nivel 25.";"Raggiungi il livello 25.";"Opnå niveau 25.";"";"Bereik level 25.";"Osiągnij 25 poziom.";"";"Alcance o nível 25.";"25. seviyeye ulaş.";"";"Dosáhni úrovně 25";"Φτάσε στο επίπεδο 25.";"Érd el a 25. szintet!";"";"Atinge nivelul 25.";"";"Досягти 25 рівня.";"";"达到等级 25。";"達到等級 25。";"";"25 레벨 달성하기.";"";""
"player_level_30_description";"Reach level 30.";"Erreiche Level 30.";"Atteindre le niveau 30.";"Alcance nível 30.";"Достичь 30 уровня.";"Alcanza el Nivel 30.";"Raggiungi il livello 30.";"Opnå niveau 30.";"";"Bereik level 30.";"Osiągnij 30 poziom.";"";"Alcance o nível 30.";"30. seviyeye ulaş.";"";"Dosáhni úrovně 30";"Φτάσε στο επίπεδο 30.";"Érd el a 30. szintet!";"";"Atinge nivelul 30.";"";"Досягти 30 рівня.";"";"达到等级 30。";"達到等級 30。";"";"30 레벨 달성하기.";"";""
"player_level_35_description";"Reach level 35.";"Erreiche Level 35.";"Atteindre le niveau 35.";"Alcance nível 35.";"Достичь 35 уровня.";"Alcanza el Nivel 35.";"Raggiungi il livello 35.";"Opnå niveau 35.";"";"Bereik level 35.";"Osiągnij 35 poziom.";"";"Alcance o nível 35.";"35. seviyeye ulaş.";"";"Dosáhni úrovně 35";"Φτάσε στο επίπεδο 35.";"Érd el a 35. szintet!";"";"Atinge nivelul 35.";"";"Досягти 35 рівня.";"";"达到等级 35。";"達到等級 35。";"";"35 레벨 달성하기.";"";""
"player_level_40_description";"Reach level 40.";"Erreiche Level 40.";"Atteindre le niveau 40.";"Alcance nível 40.";"Достичь 40 уровня.";"Alcanza el Nivel 40.";"Raggiungi il livello 40.";"Opnå niveau 40.";"";"Bereik level 40.";"Osiągnij 40 poziom.";"";"Alcance o nível 40.";"40. seviyeye ulaş.";"";"Dosáhni úrovně 40";"Φτάσε στο επίπεδο 40.";"Érd el a 40. szintet!";"";"Atinge nivelul 40.";"";"Досягти 40 рівня.";"";"达到等级 40。";"達到等級 40。";"";"40 레벨 달성하기.";"";""
"player_level_45_description";"Reach level 45.";"Erreiche Level 45.";"Atteindre le niveau 45.";"Alcance nível 45.";"Достичь 45 уровня.";"Alcanza el Nivel 45.";"Raggiungi il livello 45.";"Opnå niveau 45.";"";"Bereik level 45.";"Osiągnij 45 poziom.";"";"Alcance o nível 45.";"45. seviyeye ulaş.";"";"Dosáhni úrovně 45";"Φτάσε στο επίπεδο 45.";"Érd el a 45. szintet!";"";"Atinge nivelul 45.";"";"Досягти 45 рівня.";"";"达到等级 45。";"達到等級 45。";"";"45 레벨 달성하기.";"";""
"player_level_50_description";"Reach level 50.";"Erreiche Level 50.";"Atteignez le niveau 50.";"Alcance nível 50.";"Достичь 50 уровня.";"Alcanza el Nivel 50.";"Raggiungi il livello 50.";"Opnå niveau 50.";"";"Bereik level 50.";"Osiągnij 50 poziom.";"";"Alcance o nível 50.";"50. seviyeye ulaş.";"";"Dosáhni úrovně 50";"Φτάσε στο επίπεδο 50.";"Érd el az 50. szintet!";"";"Atinge nivelul 50.";"";"Досягти 50 рівня.";"";"达到等级 50。";"達到等級 50。";"";"50 레벨 달성하기.";"";""
